Codi_Districte,Codi_Barri,Nom_Barri,Data_Referencia,Valor,Codi_Ciutat
01,01,el Raval,2014,180,01
01,02,el Barri Gòtic,2014,184,01
01,03,la Barceloneta,2014,69,01
01,04,"Sant Pere, Santa Caterina i la Ribera",2014,171,01
02,05,el Fort Pienc,2014,343,01
02,06,la Sagrada Família,2014,794,01
02,07,la Dreta de l'Eixample,2014,1747,01
02,08,l'Antiga Esquerra de l'Eixample,2014,727,01
02,09,la Nova Esquerra de l'Eixample,2014,428,01
02,10,Sant Antoni,2014,568,01
03,11,el Poble Sec - AEI Parc Montjuïc,2014,546,01
03,12,la Marina del Prat Vermell - AEI Zona Franca,2014,3,01
03,13,la Marina de Port,2014,6,01
03,14,la Font de la Guatlla,2014,74,01
03,15,Hostafrancs,2014,187,01
03,16,la Bordeta,2014,42,01
03,17,Sants - Badal,2014,90,01
03,18,Sants,2014,189,01
04,19,les Corts,2014,171,01
04,20,la Maternitat i Sant Ramon,2014,36,01
04,21,Pedralbes,2014,8,01
05,22,"Vallvidrera, el Tibidabo i les Planes",2014,3,01
05,23,Sarrià,2014,23,01
05,24,les Tres Torres,2014,31,01
05,25,Sant Gervasi - la Bonanova,2014,26,01
05,26,Sant Gervasi - Galvany,2014,271,01
05,27,el Putxet i el Farró,2014,158,01
06,28,Vallcarca i els Penitents,2014,35,01
06,29,el Coll,2014,13,01
06,30,la Salut,2014,35,01
06,31,la Vila de Gràcia,2014,768,01
06,32,el Camp d'en Grassot i Gràcia Nova,2014,230,01
07,33,el Baix Guinardó,2014,87,01
07,34,Can Baró,2014,13,01
07,35,el Guinardó,2014,54,01
07,36,la Font d'en Fargues,2014,2,01
07,37,el Carmel,2014,26,01
07,38,la Teixonera,2014,9,01
07,39,Sant Genís dels Agudells,2014,3,01
07,41,la Vall d'Hebron,2014,0,01
07,43,Horta,2014,4,01
08,44,Vilapicina i la Torre Llobeta,2014,6,01
08,45,Porta,2014,2,01
08,46,el Turó de la Peira,2014,0,01
08,48,la Guineueta,2014,1,01
08,49,Canyelles,2014,1,01
08,50,les Roquetes,2014,3,01
08,51,Verdun,2014,2,01
08,52,la Prosperitat,2014,4,01
09,57,la Trinitat Vella,2014,5,01
09,59,el Bon Pastor,2014,1,01
09,60,Sant Andreu,2014,27,01
09,61,la Sagrera,2014,21,01
09,62,el Congrés i els Indians,2014,4,01
09,63,Navas,2014,11,01
10,64,el Camp de l'Arpa del Clot,2014,270,01
10,65,el Clot,2014,50,01
10,66,el Parc i la Llacuna del Poblenou,2014,101,01
10,67,la Vila Olímpica del Poblenou,2014,111,01
10,68,el Poblenou,2014,406,01
10,69,Diagonal Mar i el Front Marítim del Poblenou,2014,145,01
10,70,el Besòs i el Maresme,2014,30,01
10,71,Provençals del Poblenou,2014,36,01
10,72,Sant Martí de Provençals,2014,9,01
10,73,la Verneda i la Pau,2014,6,01
